symbol,epoch,slug,orders_placed,orders_filled,orders_open,allocation_usdc,total_proceeds_usdc,yes_filled,no_filled,yes_unfilled,no_unfilled,pnl_if_yes_wins_usdc,pnl_if_no_wins_usdc,epoch_end_utc
eth,5m,eth-updown-5m-1775077500,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T21:10:00Z
eth,5m,eth-updown-5m-1775077200,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T21:05:00Z
eth,5m,eth-updown-5m-1775076900,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T21:00:00Z
eth,5m,eth-updown-5m-1775076600,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T20:55:00Z
eth,5m,eth-updown-5m-1775076300,5,5,0,100.0,103.4,100.0,100.0,0.0,0.0,3.4,3.4,2026-04-01T20:50:00Z
eth,5m,eth-updown-5m-1775076000,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T20:45:00Z
eth,5m,eth-updown-5m-1775075700,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T20:40:00Z
eth,5m,eth-updown-5m-1775075400,4,4,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-01T20:35:00Z
eth,5m,eth-updown-5m-1775075100,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T20:30:00Z
eth,5m,eth-updown-5m-1775074800,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T20:25:00Z
eth,5m,eth-updown-5m-1775074500,5,5,0,100.0,103.4,100.0,100.0,0.0,0.0,3.4,3.4,2026-04-01T20:20:00Z
eth,5m,eth-updown-5m-1775074200,11,11,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-01T20:15:00Z
eth,5m,eth-updown-5m-1775073900,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T20:10:00Z
eth,5m,eth-updown-5m-1775073600,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T20:05:00Z
eth,5m,eth-updown-5m-1775073300,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T20:00:00Z
eth,5m,eth-updown-5m-1775073000,2,2,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,2026-04-01T19:55:00Z
eth,5m,eth-updown-5m-1775072700,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T19:50:00Z
eth,5m,eth-updown-5m-1775072400,5,5,0,100.0,103.4,100.0,100.0,0.0,0.0,3.4,3.4,2026-04-01T19:45:00Z
eth,5m,eth-updown-5m-1775072100,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T19:40:00Z
eth,5m,eth-updown-5m-1775071800,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T19:35:00Z
eth,5m,eth-updown-5m-1775071500,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T19:30:00Z
eth,5m,eth-updown-5m-1775071200,6,6,0,100.0,104.5,100.0,100.0,0.0,0.0,4.5,4.5,2026-04-01T19:25:00Z
eth,5m,eth-updown-5m-1775070900,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T19:20:00Z
eth,5m,eth-updown-5m-1775070600,6,6,0,100.0,104.0,100.0,100.0,0.0,0.0,4.0,4.0,2026-04-01T19:15:00Z
eth,5m,eth-updown-5m-1775070300,3,3,0,100.0,101.9,100.0,100.0,0.0,0.0,1.9,1.9,2026-04-01T19:10:00Z
eth,5m,eth-updown-5m-1775070000,4,4,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-01T19:05:00Z
eth,5m,eth-updown-5m-1775069700,11,11,0,100.0,102.3,100.0,100.0,0.0,0.0,2.3,2.3,2026-04-01T19:00:00Z
eth,5m,eth-updown-5m-1775069400,4,4,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-01T18:55:00Z
eth,5m,eth-updown-5m-1775069100,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T18:50:00Z
eth,5m,eth-updown-5m-1775068800,11,11,0,100.0,103.06,100.0,100.0,0.0,0.0,3.06,3.06,2026-04-01T18:45:00Z
eth,5m,eth-updown-5m-1775068500,2,2,0,100.0,15.5,10.0,100.0,90.0,0.0,5.5,-84.5,2026-04-01T18:40:00Z
eth,5m,eth-updown-5m-1775068200,4,4,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-01T18:35:00Z
eth,5m,eth-updown-5m-1775067900,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T18:30:00Z
eth,5m,eth-updown-5m-1775067600,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T18:25:00Z
